RAM,,Seller Performance,Product Performance
RAM1GBa,a1,7,5
RAM1GBa,a2,6,6
RAM1GBa,a3,8,7
RAM1GBb,b1,9,8
RAM1GBb,b2,8,7
RAM1GBb,b3,7,6
RAM1GBc,c1,6,5
RAM1GBc,c2,7,5
RAM1GBc,c3,8,6
RAM2GBa,a1,7,7
RAM2GBa,a2,7,8
RAM2GBa,a3,8,6
RAM2GBb,b1,8,7
RAM2GBb,b2,7,5
RAM2GBb,b3,8,6
RAM2GBc,c1,6,6
RAM2GBc,c2,7,6
RAM2GBc,c3,8,7
RAM4GBa,a1,9,8
RAM4GBa,a2,6,7
RAM4GBa,a3,5,7
RAM4GBb,b1,6,7
RAM4GBb,b2,7,6
RAM4GBb,b3,7,5
RAM4GBc,c1,6,6
RAM4GBc,c2,6,7
RAM4GBc,c3,7,6
RAM8GBa,a1,7,5
RAM8GBa,a2,8,5
RAM8GBa,a3,8,6
RAM8GBb,b1,7,8
RAM8GBb,b2,6,7
RAM8GBb,b3,6,6
RAM8GBc,c1,7,7
RAM8GBc,c2,7,9
RAM8GBc,c3,8,8
HDD500GBa,a1,6,7
HDD500GBa,a2,6,6
HDD500GBa,a3,7,7
HDD500GBb,b1,8,7
HDD500GBb,b2,7,8
HDD500GBb,b3,6,7
HDD500GBc,c1,5,5
HDD500GBc,c2,6,6
HDD500GBc,c3,7,6
HDD1TBa,a1,5,7
HDD1TBa,a2,6,8
HDD1TBa,a3,7,8
HDD1TBb,b1,8,6
HDD1TBb,b2,6,5
HDD1TBb,b3,9,6
HDD1TBc,c1,6,8
HDD1TBc,c2,7,7
HDD1TBc,c3,5,9
HDD2TBa,a1,8,7
HDD2TBa,a2,5,8
HDD2TBa,a3,8,8
HDD2TBb,b1,6,7
HDD2TBb,b2,9,6
HDD2TBb,b3,9,5
HDD2TBc,c1,6,6
HDD2TBc,c2,7,7
HDD2TBc,c3,5,8
PROi3a,a1,5,5
PROi3a,a2,6,4
PROi3a,a3,7,6
PROi3b,b1,8,7
PROi3b,b2,6,5
PROi3b,b3,5,4
PROi3c,c1,4,6
PROi3c,c2,8,7
PROi3c,c3,9,5
PROi5a,a1,5,7
PROi5a,a2,6,6
PROi5a,a3,5,8
PROi5b,b1,8,5
PROi5b,b2,9,9
PROi5b,b3,6,6
PROi5c,c1,8,5
PROi5c,c2,7,4
PROi5c,c3,9,7
PROi7a,a1,4,6
PROi7a,a2,8,8
PROi7a,a3,7,9
PROi7b,b1,9,6
PROi7b,b2,6,5
PROi7b,b3,5,4
PROi7c,c1,8,6
PROi7c,c2,7,7
PROi7c,c3,6,8
PROi9a,a1,9,7
PROi9a,a2,4,9
PROi9a,a3,6,5
PROi9b,b1,5,6
PROi9b,b2,7,4
PROi9b,b3,8,8
PROi9c,c1,6,7
PROi9c,c2,7,7
PROi9c,c3,6,6
